Books,Ben,Moose,Reuven,Cust1,Cust2,Francois,Jim C,Iren,Cust3,Cust4,Cust5,Cust6,Cust7,Cust8,Cust9,andrew,ma,matt c,Ocelot,Cust10,crom,joe,Priscilla,Harry Potter,I. Ned,ender,Apollo,Zax,Jaluka,Sanity,Brix,sage32,clipper,YJAM,Martin,Mike,Strongbad,Brian,Douglas Anderson,chrispeh,Rudy A,McLovin,Mike Williams,Dude,Hideo,Rudy Ann,Don Wang,Anna-Carol,SubRia,Ella,Leslie,Sam,Cedric Jones,Don Wang,McLean,Shannon,Joshua,Jeremy,Pablo Sanchez,Scream,ROFLOL,Albus Dumbledore,Alexandra,NaRwHaLs,J-Rok,snoosh,Huxil,hidan,Leah,Boxxy,Rosanna,Claire,David,Zachary,ParseClaws,Tiffany,Sidney,Tony,Mark,NuNu,Hamza ALi,dencellia,Nathan,James,KeeLed,Megan,num_times_read,num_times_most_liked,num_times_most_hated,average_books,net_rating_dict,average_ratings,new_ratings
The Hitchhiker's Guide To The Galaxy,5,5,5,4,4,4,5,0,0,0,0,3,0,4,5,4,0,0,5,5,0,4,5,0,0,5,0,0,0,0,3,0,5,0,3,5,5,5,5,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,5,0,0,5,4,0,1,5,0,0,0,0,4,0,5,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[5, 5, 5, 4, 4, 4, 5, 0, 0, 0, 0, 3, 0, 4, 5, 4, 0, 0, 5, 5, 0, 4, 5, 0, 0, 5, 0, 0, 0, 0, 3, 0, 5, 0, 3, 5, 5, 5, 5, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 4, 0, 1, 5, 0, 0, 0, 0, 4, 0, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [5, 5, 5, 4, 4, 4, 5, 0, 0, 0, 0, 3, 0, 4, 5, 4, 0, 0, 5, 5, 0, 4, 5, 0, 0, 5, 0, 0, 0, 0, 3, 0, 5, 0, 3, 5, 5, 5, 5, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 4, 0, 1, 5, 0, 0, 0, 0, 4, 0, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Watership Down,0,5,1,4,0,4,4,0,0,0,2,3,0,0,0,4,0,4,3,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,1,4,0,0,0,0,3,0,5,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 5, 1, 4, 0, 4, 4, 0, 0, 0, 2, 3, 0, 0, 0, 4, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 5, 0, 0, 1, 4, 0, 0, 0, 0, 3, 0, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 5, 1, 4, 0, 4, 4, 0, 0, 0, 2, 3, 0, 0, 0, 4, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 5, 0, 0, 1, 4, 0, 0, 0, 0, 3, 0, 5, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
The Five People You Meet in Heaven,0,0,0,5,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Speak,0,0,0,0,0,0,0,0,2,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,5,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
I Know Why the Caged Bird Sings,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 5, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 5, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Thirteen Reasons Why,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
Foundation Series,0,4,2,4,0,4,4,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 4, 2, 4, 0, 4, 4, 0, 0, 0, 0, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 4, 2, 4, 0, 4, 4, 0, 0, 0, 0, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
The Sisterhood of the Travelling Pants,3,0,1,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,3,0,3,1,0,1,2,5,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[3, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 0, 3, 0, 3, 1, 0, 1, 2, 5, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [3, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 0, 3, 0, 3, 1, 0, 1, 2, 5, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
A Great and Terrible Beauty,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
The Da Vinci Code,3,3,3,4,0,4,0,0,0,0,0,5,0,5,0,2,4,5,0,1,2,4,0,1,3,4,0,0,3,0,0,4,0,0,0,3,0,4,4,0,0,4,5,0,0,0,0,0,5,0,5,4,4,0,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,4,0,0,1,5,0,1,4,0,5,0,5,0,5,4,86,0,0,0,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",0,"[3, 3, 3, 4, 0, 4, 0, 0, 0, 0, 0, 5, 0, 5, 0, 2, 4, 5, 0, 1, 2, 4, 0, 1, 3, 4, 0, 0, 3, 0, 0, 4, 0, 0, 0, 3, 0, 4, 4, 0, 0, 4, 5, 0, 0, 0, 0, 0, 5, 0, 5, 4, 4, 0, 5, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 1, 5, 0, 1, 4, 0, 5, 0, 5, 0, 5, 4, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0, [3, 3, 3, 4, 0, 4, 0, 0, 0, 0, 0, 5, 0, 5, 0, 2, 4, 5, 0, 1, 2, 4, 0, 1, 3, 4, 0, 0, 3, 0, 0, 4, 0, 0, 0, 3, 0, 4, 4, 0, 0, 4, 5, 0, 0, 0, 0, 0, 5, 0, 5, 4, 4, 0, 5, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 1, 5, 0, 1, 4, 0, 5, 0, 5, 0, 5, 4, 86, 0, 0, 0, {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}, 0]]"
