users,level_1,0
Ben,The Hitchhiker's Guide To The Galaxy,5
Ben,Watership Down,0
Ben,The Five People You Meet in Heaven,0
Ben,Speak,0
Ben,I Know Why the Caged Bird Sings,0
Ben,Thirteen Reasons Why,0
Ben,Foundation Series,0
Ben,The Sisterhood of the Travelling Pants,3
Ben,A Great and Terrible Beauty,0
Ben,The Da Vinci Code,3
Ben,The Princess Diaries,2
Ben,Ender's Game,5
Ben,The Hunt for Red October,0
Ben,The Hunger Games,0
Ben,The Great Gatsby,0
Ben,Ranger's Apprentice Series,5
Ben,Inkheart,5
Ben,Neuromancer,0
Ben,Lord of the Flies,0
Ben,The Princess Bride,0
Ben,Dinotopia: A Land Apart from Time,0
Ben,Far North,5
Ben,Practical Magic,0
Ben,Brave New World,0
Ben,The Summer Tree,0
Ben,Flowers For Algernon,0
Ben,Owl in Love,0
Ben,Naruto,0
Ben,Bleach (graphic novel),0
Ben,Kiss the Dust,0
Ben,To Kill a Mockingbird,3
Ben,The Lion the Witch and the Wardrobe,4
Ben,The Bourne Series,0
Ben,Life of Pi,3
Ben,Breathless,0
Ben,Twilight Series,1
Ben,Sabriel,0
Ben,Nineteen Eighty-Four (1984),0
Ben,Eragon,5
Ben,Hatchet,5
Ben,My Sister's Keeper,0
Ben,The Golden Compass,5
Ben,Harry Potter Series,5
Ben,Holes,5
Ben,Shonen Jump Series,0
Ben,The Shadow Club,5
Ben,Bone Series,5
Ben,Maus: A Survivor's Tale,0
Ben,The Joy Luck Club,0
Ben,The Lord of the Rings,0
Ben,The Hobbit,5
Ben,Shattered,5
Ben,The War Of The Worlds,5
Ben,Dealing with Dragons,5
Ben,The Chrysalids,1
Moose,The Hitchhiker's Guide To The Galaxy,5
Moose,Watership Down,5
Moose,The Five People You Meet in Heaven,0
Moose,Speak,0
Moose,I Know Why the Caged Bird Sings,0
Moose,Thirteen Reasons Why,0
Moose,Foundation Series,4
Moose,The Sisterhood of the Travelling Pants,0
Moose,A Great and Terrible Beauty,0
Moose,The Da Vinci Code,3
Moose,The Princess Diaries,0
Moose,Ender's Game,5
Moose,The Hunt for Red October,4
Moose,The Hunger Games,0
Moose,The Great Gatsby,5
Moose,Ranger's Apprentice Series,0
Moose,Inkheart,4
Moose,Neuromancer,4
Moose,Lord of the Flies,5
Moose,The Princess Bride,0
Moose,Dinotopia: A Land Apart from Time,0
Moose,Far North,0
Moose,Practical Magic,0
Moose,Brave New World,0
Moose,The Summer Tree,5
Moose,Flowers For Algernon,0
Moose,Owl in Love,0
Moose,Naruto,0
Moose,Bleach (graphic novel),0
Moose,Kiss the Dust,0
Moose,To Kill a Mockingbird,4
Moose,The Lion the Witch and the Wardrobe,5
Moose,The Bourne Series,0
Moose,Life of Pi,0
Moose,Breathless,0
Moose,Twilight Series,0
Moose,Sabriel,0
Moose,Nineteen Eighty-Four (1984),5
Moose,Eragon,2
Moose,Hatchet,0
Moose,My Sister's Keeper,0
Moose,The Golden Compass,0
Moose,Harry Potter Series,5
Moose,Holes,0
Moose,Shonen Jump Series,0
Moose,The Shadow Club,0
Moose,Bone Series,0
Moose,Maus: A Survivor's Tale,0
Moose,The Joy Luck Club,0
Moose,The Lord of the Rings,5
Moose,The Hobbit,5
Moose,Shattered,0
Moose,The War Of The Worlds,4
Moose,Dealing with Dragons,0
Moose,The Chrysalids,0
Reuven,The Hitchhiker's Guide To The Galaxy,5
Reuven,Watership Down,1
Reuven,The Five People You Meet in Heaven,0
Reuven,Speak,0
Reuven,I Know Why the Caged Bird Sings,0
Reuven,Thirteen Reasons Why,0
