Books,read_books,liked_books,hated_books,neutral_books,unread_books,average_ratings,net_liked_book,net_hated_book,Cluster
Sabriel,4,4,0,0,81,4.5,0.18823529411764706,0.0,1
The Hitchhiker's Guide To The Galaxy,36,32,1,3,49,4.44,13.552941176470588,0.4235294117647059,0
The Bourne Series,14,13,0,1,71,4.43,2.1411764705882352,0.0,1
Ender's Game,27,23,0,4,58,4.41,7.305882352941176,0.0,0
My Sister's Keeper,10,9,0,1,75,4.4,1.0588235294117647,0.0,1
Harry Potter Series,62,55,4,3,23,4.37,40.11764705882353,2.9176470588235293,0
Holes,42,37,1,4,43,4.31,18.28235294117647,0.49411764705882355,0
The Princess Bride,16,13,1,2,69,4.31,2.447058823529412,0.18823529411764706,1
Hatchet,24,19,0,5,61,4.29,5.364705882352941,0.0,0
Maus: A Survivor's Tale,6,5,1,0,79,4.17,0.3529411764705882,0.07058823529411765,1
The Lion the Witch and the Wardrobe,50,39,1,10,35,4.14,22.941176470588236,0.5882352941176471,0
The Lord of the Rings,46,35,5,6,39,4.13,18.941176470588236,2.705882352941176,0
Shonen Jump Series,9,7,1,1,76,4.11,0.7411764705882353,0.10588235294117647,1
The Hobbit,55,41,8,6,30,4.07,26.529411764705884,5.176470588235294,0
Nineteen Eighty-Four (1984),24,19,3,2,61,4.04,5.364705882352941,0.8470588235294118,0
The Hunt for Red October,9,8,0,1,76,4.0,0.8470588235294118,0.0,1
The War Of The Worlds,23,15,2,6,62,4.0,4.0588235294117645,0.5411764705882353,1
The Golden Compass,34,25,4,5,51,4.0,10.0,1.6,0
The Summer Tree,5,4,0,1,80,4.0,0.23529411764705882,0.0,1
Inkheart,26,19,2,5,59,3.96,5.811764705882354,0.611764705882353,0
Eragon,43,31,4,8,42,3.95,15.68235294117647,2.023529411764706,0
Foundation Series,14,12,2,0,71,3.93,1.9764705882352942,0.32941176470588235,1
Flowers For Algernon,16,11,1,4,69,3.88,2.0705882352941174,0.18823529411764706,1
Dealing with Dragons,5,2,0,3,80,3.8,0.11764705882352941,0.0,1
Bleach (graphic novel),15,9,2,4,70,3.8,1.5882352941176472,0.35294117647058826,1
The Joy Luck Club,9,6,0,3,76,3.78,0.6352941176470588,0.0,1
The Da Vinci Code,40,28,6,6,45,3.77,13.176470588235293,2.8235294117647056,0
Neuromancer,13,8,1,4,72,3.77,1.223529411764706,0.15294117647058825,1
A Great and Terrible Beauty,4,2,0,2,81,3.75,0.09411764705882353,0.0,1
The Hunger Games,4,2,0,2,81,3.75,0.09411764705882353,0.0,1
Bone Series,17,11,3,3,68,3.71,2.2,0.6000000000000001,1
Shattered,6,3,0,3,79,3.67,0.21176470588235294,0.0,1
The Five People You Meet in Heaven,12,8,3,1,73,3.67,1.1294117647058823,0.4235294117647059,1
Brave New World,25,15,5,5,60,3.64,4.411764705882353,1.4705882352941178,1
Watership Down,20,13,4,3,65,3.55,3.0588235294117645,0.9411764705882353,1
To Kill a Mockingbird,52,27,8,17,33,3.54,16.51764705882353,4.894117647058824,0
The Chrysalids,25,14,6,5,60,3.52,4.11764705882353,1.7647058823529411,1
Naruto,23,12,5,6,62,3.48,3.2470588235294118,1.352941176470588,1
The Great Gatsby,24,10,4,10,61,3.46,2.8235294117647056,1.1294117647058823,1
Lord of the Flies,39,19,9,11,46,3.41,8.717647058823529,4.129411764705882,0
Ranger's Apprentice Series,5,2,1,2,80,3.4,0.11764705882352941,0.058823529411764705,1
Far North,3,2,1,0,82,3.33,0.07058823529411765,0.03529411764705882,1
Speak,6,3,2,1,79,3.33,0.21176470588235294,0.1411764705882353,1
The Princess Diaries,21,9,6,6,64,3.24,2.223529411764706,1.4823529411764707,1
Twilight Series,34,17,13,4,51,3.12,6.800000000000001,5.2,0
The Sisterhood of the Travelling Pants,21,7,7,7,64,3.05,1.7294117647058824,1.7294117647058824,1
Kiss the Dust,1,0,0,1,84,3.0,0.0,0.0,1
Owl in Love,2,0,0,2,83,3.0,0.0,0.0,1
Practical Magic,3,2,1,0,82,3.0,0.07058823529411765,0.03529411764705882,1
Dinotopia: A Land Apart from Time,4,2,1,1,81,3.0,0.09411764705882353,0.047058823529411764,1
The Shadow Club,4,2,2,0,81,3.0,0.09411764705882353,0.09411764705882353,1
Life of Pi,49,23,18,8,36,2.98,13.258823529411764,10.376470588235293,0
I Know Why the Caged Bird Sings,6,2,3,1,79,2.83,0.1411764705882353,0.21176470588235294,1
Thirteen Reasons Why,3,1,1,1,82,2.67,0.03529411764705882,0.03529411764705882,1
Breathless,0,0,0,0,85,0.0,0.0,0.0,1
