users,book,rating,user_id,book_id
Ben,The Hitchhiker's Guide To The Galaxy,5,1,1
Ben,Watership Down,0,1,2
Ben,The Five People You Meet in Heaven,0,1,3
Ben,Speak,0,1,4
Ben,I Know Why the Caged Bird Sings,0,1,5
Ben,Thirteen Reasons Why,0,1,6
Ben,Foundation Series,0,1,7
Ben,The Sisterhood of the Travelling Pants,3,1,8
Ben,A Great and Terrible Beauty,0,1,9
Ben,The Da Vinci Code,3,1,10
Ben,The Princess Diaries,2,1,11
Ben,Ender's Game,5,1,12
Ben,The Hunt for Red October,0,1,13
Ben,The Hunger Games,0,1,14
Ben,The Great Gatsby,0,1,15
Ben,Ranger's Apprentice Series,5,1,16
Ben,Inkheart,5,1,17
Ben,Neuromancer,0,1,18
Ben,Lord of the Flies,0,1,19
Ben,The Princess Bride,0,1,20
Ben,Dinotopia: A Land Apart from Time,0,1,21
Ben,Far North,5,1,22
Ben,Practical Magic,0,1,23
Ben,Brave New World,0,1,24
Ben,The Summer Tree,0,1,25
Ben,Flowers For Algernon,0,1,26
Ben,Owl in Love,0,1,27
Ben,Naruto,0,1,28
Ben,Bleach (graphic novel),0,1,29
Ben,Kiss the Dust,0,1,30
Ben,To Kill a Mockingbird,3,1,31
Ben,The Lion the Witch and the Wardrobe,4,1,32
Ben,The Bourne Series,0,1,33
Ben,Life of Pi,3,1,34
Ben,Breathless,0,1,35
Ben,Twilight Series,1,1,36
Ben,Sabriel,0,1,37
Ben,Nineteen Eighty-Four (1984),0,1,38
Ben,Eragon,5,1,39
Ben,Hatchet,5,1,40
Ben,My Sister's Keeper,0,1,41
Ben,The Golden Compass,5,1,42
Ben,Harry Potter Series,5,1,43
Ben,Holes,5,1,44
Ben,Shonen Jump Series,0,1,45
Ben,The Shadow Club,5,1,46
Ben,Bone Series,5,1,47
Ben,Maus: A Survivor's Tale,0,1,48
Ben,The Joy Luck Club,0,1,49
Ben,The Lord of the Rings,0,1,50
Ben,The Hobbit,5,1,51
Ben,Shattered,5,1,52
Ben,The War Of The Worlds,5,1,53
Ben,Dealing with Dragons,5,1,54
Ben,The Chrysalids,1,1,55
Moose,The Hitchhiker's Guide To The Galaxy,5,2,1
Moose,Watership Down,5,2,2
Moose,The Five People You Meet in Heaven,0,2,3
Moose,Speak,0,2,4
Moose,I Know Why the Caged Bird Sings,0,2,5
Moose,Thirteen Reasons Why,0,2,6
Moose,Foundation Series,4,2,7
Moose,The Sisterhood of the Travelling Pants,0,2,8
Moose,A Great and Terrible Beauty,0,2,9
Moose,The Da Vinci Code,3,2,10
Moose,The Princess Diaries,0,2,11
Moose,Ender's Game,5,2,12
Moose,The Hunt for Red October,4,2,13
Moose,The Hunger Games,0,2,14
Moose,The Great Gatsby,5,2,15
Moose,Ranger's Apprentice Series,0,2,16
Moose,Inkheart,4,2,17
Moose,Neuromancer,4,2,18
Moose,Lord of the Flies,5,2,19
Moose,The Princess Bride,0,2,20
Moose,Dinotopia: A Land Apart from Time,0,2,21
Moose,Far North,0,2,22
Moose,Practical Magic,0,2,23
Moose,Brave New World,0,2,24
Moose,The Summer Tree,5,2,25
