name,author,book_attribtes,genre,page_count,ratings_count,average_rating
The Hitchhiker's Guide To The Galaxy,Douglas Adams,"{'page_count': 764, 'genre': ['Dent, Arthur'], 'ratings_count': 5, 'average_rating': 3}","['Dent, Arthur']",764.0,5.0,3.0
Watership Down,Richard Adams,"{'page_count': 496, 'genre': ['Fiction'], 'ratings_count': 227, 'average_rating': 4}",['Fiction'],496.0,227.0,4.0
The Five People You Meet in Heaven,Mitch Albom,"{'page_count': 240, 'genre': ['Fiction'], 'ratings_count': 252, 'average_rating': 3.5}",['Fiction'],240.0,252.0,3.5
Speak,Laurie Halse Anderson,"{'page_count': 240, 'genre': ['Juvenile Fiction'], 'ratings_count': 406, 'average_rating': 4}",['Juvenile Fiction'],240.0,406.0,4.0
I Know Why the Caged Bird Sings,Maya Angelou,"{'page_count': 288, 'genre': ['Biography & Autobiography'], 'ratings_count': 3252, 'average_rating': 4}",['Biography & Autobiography'],288.0,3252.0,4.0
Thirteen Reasons Why,Jay Asher,"{'page_count': 288, 'genre': ['Juvenile Fiction'], 'ratings_count': 3649, 'average_rating': 3.5}",['Juvenile Fiction'],288.0,3649.0,3.5
Foundation Series,Isaac Asimov,"{'page_count': 609, 'genre': ['Science fiction'], 'ratings_count': 1, 'average_rating': 5}",['Science fiction'],609.0,1.0,5.0
The Sisterhood of the Travelling Pants,Ann Brashares,"{'page_count': 312, 'genre': ['Young Adult Fiction'], 'ratings_count': 136, 'average_rating': 3.5}",['Young Adult Fiction'],312.0,136.0,3.5
A Great and Terrible Beauty,Libba Bray,"{'page_count': 416, 'genre': ['Juvenile Fiction'], 'ratings_count': 250, 'average_rating': 3.5}",['Juvenile Fiction'],416.0,250.0,3.5
The Da Vinci Code,Dan Brown,"{'page_count': 480, 'genre': None, 'ratings_count': 5, 'average_rating': 5}",,480.0,5.0,5.0
The Princess Diaries,Meg Cabot,"{'page_count': None, 'genre': ['Young Adult Fiction'], 'ratings_count': 86, 'average_rating': 3.5}",['Young Adult Fiction'],,86.0,3.5
Ender's Game,Orson Scott Card,"{'page_count': 448, 'genre': ['Fiction'], 'ratings_count': 112, 'average_rating': 4}",['Fiction'],448.0,112.0,4.0
The Hunt for Red October,Tom Clancy,"{'page_count': 656, 'genre': ['Fiction'], 'ratings_count': 37, 'average_rating': 4.5}",['Fiction'],656.0,37.0,4.5
The Hunger Games,Suzanne Collins,"{'page_count': 464, 'genre': ['Juvenile Fiction'], 'ratings_count': 56, 'average_rating': 4.5}",['Juvenile Fiction'],464.0,56.0,4.5
The Great Gatsby,F. Scott Fitzgerald,"{'page_count': 190, 'genre': ['Fiction'], 'ratings_count': None, 'average_rating': None}",['Fiction'],190.0,,
Ranger's Apprentice Series,John Flanagan,"{'page_count': 327, 'genre': None, 'ratings_count': 1, 'average_rating': 4}",,327.0,1.0,4.0
Inkheart,Cornelia Funke,"{'page_count': 576, 'genre': ['Juvenile Fiction'], 'ratings_count': 316, 'average_rating': 4}",['Juvenile Fiction'],576.0,316.0,4.0
Neuromancer,William Gibson,"{'page_count': 352, 'genre': ['Fiction'], 'ratings_count': 214, 'average_rating': 3}",['Fiction'],352.0,214.0,3.0
Lord of the Flies,William Golding,"{'page_count': 176, 'genre': ['Fiction'], 'ratings_count': 5, 'average_rating': 4}",['Fiction'],176.0,5.0,4.0
The Princess Bride,William Goldman,"{'page_count': 288, 'genre': ['Fiction'], 'ratings_count': None, 'average_rating': None}",['Fiction'],288.0,,
Dinotopia: A Land Apart from Time,James Gurney,"{'page_count': 181, 'genre': ['Fiction'], 'ratings_count': 13, 'average_rating': 4.5}",['Fiction'],181.0,13.0,4.5
Far North,Will Hobbs,"{'page_count': 224, 'genre': ['Juvenile Fiction'], 'ratings_count': 16, 'average_rating': 4}",['Juvenile Fiction'],224.0,16.0,4.0
Practical Magic,Alice Hoffman,"{'page_count': 304, 'genre': ['Fiction'], 'ratings_count': 81, 'average_rating': 3.5}",['Fiction'],304.0,81.0,3.5
Brave New World,Aldous Huxley,"{'page_count': 121, 'genre': ['Foreign Language Study'], 'ratings_count': 2989, 'average_rating': 3.5}",['Foreign Language Study'],121.0,2989.0,3.5
The Summer Tree,Guy Gavriel Kay,"{'page_count': 400, 'genre': ['Fiction'], 'ratings_count': None, 'average_rating': None}",['Fiction'],400.0,,
Flowers For Algernon,Daniel Keyes,"{'page_count': 304, 'genre': ['Fiction'], 'ratings_count': 178, 'average_rating': 4}",['Fiction'],304.0,178.0,4.0
